Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8
101,Line,,1,,,43,49,None,Arrow,,,,,,,,
102,Line,,1,,,48,49,None,Arrow,,,,,,,,
103,Line,,1,,,50,44,None,Arrow,,,,,,,,
104,Line,,1,,,44,47,None,Arrow,Error store,,,,,,,
105,Line,,1,,,44,52,None,Arrow,Store OK,,,,,,,
106,Line,,1,,,52,48,None,Arrow,,,,,,,,
107,Line,,1,,,52,51,None,Arrow,,,,,,,,
108,Line,,1,,,51,53,None,Arrow,,,,,,,,
109,Line,,1,,,54,55,None,Arrow,,,,,,,,
110,Line,,1,,,55,56,None,Arrow,Find TTL less than now,,,,,,,
111,Line,,1,,,55,57,None,Arrow,Not found,,,,,,,
112,Line,,1,,,56,58,None,Arrow,,,,,,,,
113,Line,,1,,,58,51,None,Arrow,,,,,,,,
114,Line,,1,,,51,59,None,Arrow,,,,,,,,
115,Line,,1,,,59,60,None,Arrow,OK,,,,,,,
116,Line,,1,,,59,61,None,Arrow,Not OK,,,,,,,
117,Line,,1,,,61,45,None,Arrow,,,,,,,,
118,Line,,1,,,61,62,None,Arrow,,,,,,,,
119,Line,,1,,,53,65,None,Arrow,Not OK,,,,,,,
120,Line,,1,,,53,63,None,Arrow,OK,,,,,,,
121,Line,,1,,,65,45,None,Arrow,,,,,,,,
122,Line,,1,,,65,66,None,Arrow,,,,,,,,
123,Line,,1,,,63,64,None,Arrow,,,,,,,,
124,Line,,1,,,64,65,None,Arrow,Not OK,,,,,,,
125,Line,,1,,,41,68,None,Arrow,Valid,,,,,,,
126,Line,,1,,,68,50,None,Arrow,Not in cache or cache history,,,,,,,
127,Line,,1,,,68,48,None,Arrow,Have in cache or cache history,,,,,,,
128,Line,,1,,,67,69,None,Arrow,,,,,,,,
129,Line,,1,,,69,65,None,Arrow,Not OK,,,,,,,
130,Line,,1,,,69,66,None,Arrow,OK,,,,,,,
131,Line,,1,,,64,71,None,Arrow,OK,,,,,,,
132,Line,,1,,,71,67,None,Arrow,,,,,,,,
133,Line,,1,,,71,70,None,Arrow,,,,,,,,
134,Line,,1,,,70,72,None,Arrow,,,,,,,,
135,Group 1,,1,,,,,,,,,,,,,,
136,Group 2,,1,,,,,,,,,,,,,,
